Product_ID,Product_Name,Category,Price_INR,Detailed_Description,Risk_Level,Return_Eligible,Return_Days,Return_Reason,Replacement_Eligible,Replacement_Days,Refund_Policy,Refund_Method,Refund_Condition,Warranty_Months,Return_Conditions,Special_Terms,Policy_Logic_Flow,Legal_Compliance
PROD-00012,AlphaBook 14,Tablets & Laptops,3433,"Ultrabook for productivity featuring 14-inch Full HD display, Intel Core i5, 8GB RAM, 512GB SSD, lightweight design, full-day battery",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00013,CloudTab Mini,Tablets & Laptops,6311,"Compact entertainment tablet with 8-inch display, quad-core processor, 4GB RAM, 64GB storage, Wi-Fi, streaming apps, portable design",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00014,QuickMix 500,Home & Kitchen Appliances,19568,"Mixer grinder with multiple stainless steel jars, 750W motor, pulse function, overload protection, ergonomic design, 2-year warranty",APPLIANCE,TRUE,10,Performance issues or not as described,TRUE,30,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,24,Original packaging; All accessories/components included; No physical damage; Unused condition; No installation attempted; All manuals included,Installation and setup not included in warranty; Regular maintenance required for warranty validity; Motor components have separate warranty terms,Return(10d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00015,HeatCup Express,Home & Kitchen Appliances,21769,"Electric kettle with 1.7L capacity, rapid boiling, auto shut-off, boil-dry protection, cordless design, stainless steel construction",APPLIANCE,TRUE,10,Performance issues or not as described,TRUE,30,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; No installation attempted; All manuals included,Installation and setup not included in warranty; Regular maintenance required for warranty validity; Motor components have separate warranty terms,Return(10d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00016,AirChef Fryo,Home & Kitchen Appliances,30693,"Air fryer for healthy cooking with 4L capacity, digital controls, temperature control, timer function, oil-free frying, easy cleaning",APPLIANCE,TRUE,10,Performance issues or not as described,TRUE,30,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,24,Original packaging; All accessories/components included; No physical damage; Unused condition; No installation attempted; All manuals included,Installation and setup not included in warranty; Regular maintenance required for warranty validity; Motor components have separate warranty terms,Return(10d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00017,SwiftClean 360,Home & Kitchen Appliances,8396,"Compact vacuum cleaner with powerful suction, HEPA filter, lightweight design, cord rewind, multiple attachments, bagless operation",APPLIANCE,TRUE,10,Performance issues or not as described,TRUE,30,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; No installation attempted; All manuals included,Installation and setup not included in warranty; Regular maintenance required for warranty validity; Motor components have separate warranty terms,Return(10d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00018,GlowMist Serum,Beauty & Personal Care,3404,"Daily face serum with vitamin C, hyaluronic acid, anti-aging formula, suitable for all skin types, dermatologically tested, 30ml bottle",HIGH_HYGIENE,FALSE,0,Non-returnable due to hygiene/safety regulations,FALSE,0,No refund - Non-returnable item,,Item not eligible for returns,0,Non-returnable item - No return conditions apply,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(0d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00019,TrimPro X2,Beauty & Personal Care,974,"Beard trimmer/grooming tool with precision blades, multiple length settings, rechargeable battery, waterproof design, accessories included",HIGH_HYGIENE,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00020,SilkWave Dryer,Beauty & Personal Care,1582,"Hair dryer & styling tool with ionic technology, multiple heat settings, concentrator nozzle, cool shot button, salon-quality results",HIGH_HYGIENE,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00021,PureSkin Cleanse,Beauty & Personal Care,3058,"Facewash/skincare product with gentle cleansing formula, suitable for daily use, removes impurities, maintains skin pH, 150ml tube",HIGH_HYGIENE,FALSE,0,Non-returnable due to hygiene/safety regulations,FALSE,0,No refund - Non-returnable item,,Item not eligible for returns,0,Non-returnable item - No return conditions apply,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(0d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00022,The Infinity Path,Books/Educational,2247,"Fiction novel - Contemporary literary work exploring themes of destiny and human connection, 320 pages, bestselling author, paperback edition",STANDARD,TRUE,7,Change of mind or not as described,FALSE,0,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unopened packaging; No writing or markings; All pages intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00023,MindCraft,Books/Educational,2947,"Motivational/self-help book focusing on mental strength and personal development, practical exercises, inspiring stories, 280 pages",STANDARD,TRUE,7,Change of mind or not as described,FALSE,0,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unopened packaging; No writing or markings; All pages intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00024,Little Learners,Books/Educational,1175,"Children's educational series with interactive learning, age-appropriate content, colorful illustrations, skill development activities",STANDARD,TRUE,7,Change of mind or not as described,TRUE,3,Exchange only - No monetary refund,Product exchange within same category,Unopened package and original condition,0,Original packaging; All accessories/components included; No physical damage; Unopened packaging; No writing or markings; All pages intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(3d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00025,CrackMaster Prep,Books/Educational,2006,"Exam preparation guide with comprehensive syllabus coverage, practice questions, previous year papers, study tips, latest pattern",STANDARD,TRUE,7,Change of mind or not as described,FALSE,0,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unopened packaging; No writing or markings; All pages intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00026,EthnoCharm Kurti,Fashion & Apparel,689,"Ethnic women's wear - Traditional kurti with contemporary design, comfortable fabric, vibrant colors, suitable for casual/formal occasions",STANDARD,TRUE,15,"Size, fit, or style preference",TRUE,15,Store credit preferred; Refund if size unavailable,Store credit or original payment method within 7-10 business days,Size/color unavailable for exchange,0,Original packaging; All accessories/components included; No physical damage; Unworn condition; Original tags attached; No alterations made,Color variations due to screen display are not considered defects; Size charts provided are for reference only; Natural material variations are not manufacturing defects,Return(15d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00027,UrbanVibe Tee,Fashion & Apparel,7601,"Casual men's T-shirt made from premium cotton, comfortable fit, trendy design, available in multiple colors and sizes",STANDARD,TRUE,15,"Size, fit, or style preference",TRUE,15,Store credit preferred; Refund if size unavailable,Store credit or original payment method within 7-10 business days,Size/color unavailable for exchange,0,Original packaging; All accessories/components included; No physical damage; Unworn condition; Original tags attached; No alterations made,Color variations due to screen display are not considered defects; Size charts provided are for reference only; Natural material variations are not manufacturing defects,Return(15d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00028,FlexStep Runner,Fashion & Apparel,3234,"Sports sneakers with cushioned sole, breathable material, arch support, durable construction, suitable for running and gym activities",STANDARD,TRUE,15,"Size, fit, or style preference",TRUE,15,Store credit preferred; Refund if size unavailable,Store credit or original payment method within 7-10 business days,Size/color unavailable for exchange,0,Original packaging; All accessories/components included; No physical damage; Unworn condition; Original tags attached; No alterations made,Color variations due to screen display are not considered defects; Size charts provided are for reference only; Natural material variations are not manufacturing defects,Return(15d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00029,LuxeCarry Wallet,Fashion & Apparel,3505,"Men's leather wallet with multiple card slots, cash compartment, coin pocket, RFID protection, genuine leather, compact design",STANDARD,TRUE,30,Quality or preference,TRUE,30,Full refund available,Original payment method within 7-10 business days,Standard refund conditions met,12,Original packaging; All accessories/components included; No physical damage; Unworn condition; Original tags attached; No alterations made,Color variations due to screen display are not considered defects; Size charts provided are for reference only; Natural material variations are not manufacturing defects,Return(30d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00030,TimeEdge Quartz,Fashion & Apparel,5158,"Analog wristwatch with quartz movement, stainless steel case, leather strap, water resistance, classic design, 1-year warranty",STANDARD,TRUE,30,Quality or preference,TRUE,30,Full refund available,Original payment method within 7-10 business days,Standard refund conditions met,12,Original packaging; All accessories/components included; No physical damage; Unworn condition; Original tags attached; No alterations made,Color variations due to screen display are not considered defects; Size charts provided are for reference only; Natural material variations are not manufacturing defects,Return(30d) ? Replacement(30d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00031,DreamWeave Bedsheet,"Home, Furniture & Décor",2899,"Premium cotton bedding set including bedsheet and pillowcases, soft texture, fade-resistant colors, easy care, queen size",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00032,GlowLine Lamp,"Home, Furniture & Décor",2267,"Decorative table lamp with LED bulbs, adjustable brightness, modern design, energy efficient, suitable for bedroom/living room",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00033,CozyNest Cushion,"Home, Furniture & Décor",18912,"Home décor cushion set with premium fabric covers, comfortable filling, decorative patterns, set of 2, machine washable",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00034,FlexiStore Organizer,"Home, Furniture & Décor",12394,"Multipurpose storage box with compartments, stackable design, durable material, transparent sections, space-saving solution",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,0,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00035,MiniHaven Chair,"Home, Furniture & Décor",4556,"Compact living chair with ergonomic design, comfortable seating, space-saving, modern style, suitable for small spaces",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00036,VisionMax TV,TVs/Home Entertainment,4890,"Smart LED television with 4K resolution, HDR support, smart OS, built-in apps, voice control, multiple connectivity options",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,24,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00037,StreamBox Lite,TVs/Home Entertainment,9838,"Streaming media device with 4K support, Wi-Fi connectivity, access to popular streaming platforms, compact design, remote control",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00038,BoomBar 120,TVs/Home Entertainment,15502,"Bluetooth soundbar with surround sound, wireless connectivity, multiple input options, wall-mountable, enhanced TV audio experience",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00039,ViewSync 27,Computing/Peripherals,5893,"Full HD monitor with 27-inch display, IPS panel, multiple connectivity options, adjustable stand, ideal for work and entertainment",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00040,KeyMate Pro,Computing/Peripherals,11127,"Mechanical keyboard with RGB backlighting, tactile switches, anti-ghosting, durable construction, gaming and productivity features",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00041,SpeedLink Drive,Computing/Peripherals,9292,"External SSD with high-speed data transfer, compact design, USB 3.0 connectivity, reliable storage solution, portable",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,36,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00042,JoyBox Blocks,"Toys, Games & Baby Products",11555,"Educational toy set with building blocks, BIS certified, safe materials, promotes creativity and motor skills, age-appropriate design",HIGH_SAFETY,TRUE,3,Safety compliance verification required,TRUE,7,Refund minus 3% processing fee (min Rs.150),Original payment method minus processing fee within 7-10 business days,Safety verification and original packaging,0,Original packaging; All accessories/components included; No physical damage; BIS certification label intact; All safety seals unbroken; Original safety warnings present,BIS safety certification mandatory for sale and returns; Age-appropriate usage warnings must be followed; Adult supervision required as per product guidelines,Return(3d) ? Replacement(7d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00043,BabyBloom Care Kit,"Toys, Games & Baby Products",11253,"Baby essentials combo including feeding bottle, pacifier, toys, care products, safe materials, complete starter kit for infants",HIGH_SAFETY,FALSE,0,Non-returnable due to hygiene/safety regulations,FALSE,0,No refund - Non-returnable item,,Item not eligible for returns,0,Non-returnable item - No return conditions apply,BIS safety certification mandatory for sale and returns; Age-appropriate usage warnings must be followed; Adult supervision required as per product guidelines,Return(0d) ? Replacement(0d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00044,FunQuest Board,"Toys, Games & Baby Products",9433,"Family board game with engaging gameplay, educational value, quality components, suitable for all ages, promotes family bonding",HIGH_SAFETY,TRUE,3,Safety compliance verification required,TRUE,7,Refund minus 3% processing fee (min Rs.150),Original payment method minus processing fee within 7-10 business days,Safety verification and original packaging,0,Original packaging; All accessories/components included; No physical damage; BIS certification label intact; All safety seals unbroken; Original safety warnings present,BIS safety certification mandatory for sale and returns; Age-appropriate usage warnings must be followed; Adult supervision required as per product guidelines,Return(3d) ? Replacement(7d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00045,SpeedRider Mini,"Toys, Games & Baby Products",11233,"Kids' ride-on toy with safety features, sturdy construction, colorful design, promotes physical activity, age-appropriate",HIGH_SAFETY,TRUE,3,Safety compliance verification required,TRUE,7,Refund minus 3% processing fee (min Rs.150),Original payment method minus processing fee within 7-10 business days,Safety verification and original packaging,0,Original packaging; All accessories/components included; No physical damage; BIS certification label intact; All safety seals unbroken; Original safety warnings present,BIS safety certification mandatory for sale and returns; Age-appropriate usage warnings must be followed; Adult supervision required as per product guidelines,Return(3d) ? Replacement(7d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00046,PulseScan Tracker,Health & Wellness,3624,"Health monitoring device with vital sign tracking, smartphone connectivity, accurate readings, user-friendly interface, medical grade",HIGH_HYGIENE,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
